id,winrate,lanes,counters,tier,icon
105,50.7,mid,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Fizz.png
48,52.5,jungle,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Trundle.png
48,51.6,top,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Fizz.png
429,49,adc,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Kalista.png
62,52,jungle,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Fizz.png
62,51.1,top,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/MonkeyKing.png
11,48.6,jungle,"[35, 30]",4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Varus.png
39,45.7,mid,"[875, 58]",5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Irelia.png
39,46,top,"[875, 58]",5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Irelia.png
164,49.5,top,[31],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Camille.png
236,48,adc,[1],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Lucian.png
236,45.9,mid,[1],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Lucian.png
83,47.1,top,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Yorick.png
63,49.1,mid,[497],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Brand.png
63,48.5,support,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Brand.png
34,51.3,mid,[115],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Anivia.png
517,49.4,mid,"[62, 69, 115, 240]",1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Sylas.png
517,47.4,top,"[62, 69, 115, 240]",4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Sylas.png
254,52.1,jungle,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Vi.png
68,46.5,jungle,"[35, 102]",4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Rumble.png
68,53.8,mid,"[35, 102]",2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Rumble.png
68,47.1,top,"[35, 102]",5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Rumble.png
154,51.4,jungle,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Zac.png
427,50.2,jungle,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Ivern.png
26,52,support,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Zilean.png
78,48.7,jungle,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Poppy.png
78,50.7,top,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Poppy.png
141,50.4,jungle,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Kayn.png
15,50.7,adc,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Sivir.png
136,53.7,mid,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/AurelionSol.png
64,49.2,jungle,"[25, 85, 58]",1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/LeeSin.png
64,50.4,top,"[25, 85, 58]",1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/LeeSin.png
145,50.5,adc,"[50, 74, 30]",1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Kaisa.png
75,49.9,top,[240],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Nasus.png
81,47.9,adc,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Ezreal.png
161,49.3,mid,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Velkoz.png
161,50.3,support,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Velkoz.png
238,50,mid,"[518, 74]",1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Zed.png
876,44.4,jungle,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Lilia.png
20,51.9,jungle,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Nunu.png
50,54,adc,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Swain.png
50,52.4,mid,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Swain.png
50,50,support,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Swain.png
17,50.1,top,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Teemo.png
111,49.8,support,[57],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Nautilus.png
420,49.4,top,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Illaoi.png
25,52.7,jungle,[50],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Morgana.png
25,49.1,support,[50],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Morgana.png
122,50.7,top,[],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Darius.png
202,50.8,adc,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Jhin.png
875,44.9,support,[54],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Sett.png
875,50.1,top,[54],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Sett.png
98,51.1,top,[],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Shen.png
79,50,jungle,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Gragas.png
79,49.5,mid,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Gragas.png
79,46.1,support,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Gragas.png
79,48.3,top,[121],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Gragas.png
13,42.9,mid,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Ryze.png
13,43.4,top,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Ryze.png
143,52.1,support,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Zyra.png
44,51,support,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Taric.png
235,47.9,adc,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Senna.png
235,51.7,support,[],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Senns.png
8,52,mid,[115],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Vladimir.png
8,50.1,top,[115],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Vladimir.png
99,51.3,mid,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Lux.png
99,48.4,support,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Lux.png
36,46.7,jungle,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/DrMundo.png
36,49.5,top,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/DrMundo.png
67,51,adc,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Vayne.png
7,48.5,mid,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Leblanc.png
518,50.7,mid,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Neeko.png
518,48,support,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Neeko.png
85,54.6,mid,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Kennen.png
85,49.5,top,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Kennen.png
150,49.7,top,"[31, 23]",3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Gnar.png
497,49.8,support,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Rakan.png
76,47.2,jungle,[163],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Nidalee.png
1,53.8,mid,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Annie.png
1,48.3,support,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Annie.png
526,49.4,support,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Rell.png
32,51.3,jungle,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Amumu.png
69,49.2,mid,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Cassiopeia.png
69,50.9,top,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Cassiopeia.png
37,52,support,[117],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Sona.png
421,49.7,jungle,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/RekSai.png
126,48.1,mid,"[62, 41, 54, 240]",5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Jayce.png
126,47.6,top,"[62, 41, 54, 240]",5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Jayce.png
267,51.1,support,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Nami.png
35,51.9,jungle,[],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Shaco.png
35,51.4,support,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Shaco.png
84,47.6,mid,"[45, 58]",3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Akali.png
84,48.5,top,"[45, 58]",4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Akali.png
266,50,top,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Aatrox.png
104,46.9,jungle,[2],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Graves.png
3,51.5,mid,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Galio.png
3,48.8,support,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Galio.png
222,49.8,adc,[74],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Jinx.png
887,51.8,jungle,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Gwen.png
887,48.4,mid,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Gwen.png
887,50.7,top,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Gwen.png
82,50.7,top,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Mordekaiser.png
119,50.5,adc,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Draven.png
45,50.3,adc,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Veigar.png
45,51.6,mid,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Veigar.png
45,47,support,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Veigar.png
163,51.9,jungle,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Taliyah.png
163,49.1,mid,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Taliyah.png
163,51.6,support,[],,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Taliyah.png
55,50.5,mid,"[518, 115]",1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Katarina.png
6,52.2,top,[31],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Urgot.png
2,49,jungle,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Olaf.png
2,48.6,top,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Olaf.png
245,50.7,jungle,"[1, 163, 72]",3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Ekko.png
245,51.2,mid,"[1, 163, 72]",3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Ekko.png
201,49.7,support,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Braum.png
106,50.6,jungle,[41],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Volibear.png
106,49.7,top,[41],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Volibear.png
41,47.2,mid,[23],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Gangplank.png
41,46.5,top,[23],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Gangplank.png
91,51.9,mid,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Talon.png
33,50.6,jungle,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Rammus.png
42,53.2,mid,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Corki.png
432,51.4,support,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Bard.png
777,49.9,mid,[80],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Yone.png
777,50.6,top,[80],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Yone.png
74,53.8,adc,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Heimerdinger.png
74,49.1,mid,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Heimerdinger.png
74,47.9,top,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Heimerdinger.png
120,44.6,jungle,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Hecarim.png
350,50.1,support,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Yuumi.png
133,50,top,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Quinn.png
113,49.1,jungle,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Sejuani.png
60,50.8,jungle,"[79, 72, 102]",2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Elise.png
43,47.4,support,[57],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Karma.png
10,54.2,mid,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Kayle.png
10,51,top,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Kayle.png
9,52.7,jungle,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Fiddlesticks.png
72,54.7,jungle,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Skarner.png
72,47.9,top,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Skarner.png
121,50.7,jungle,[79],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Khazix.png
86,50.8,top,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Garen.png
19,50.7,jungle,"[2]",3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Warwick.png
19,51.7,top,"[131, 2]",0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Warwick.png
56,50.7,jungle,[72],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Nocturne.png
56,52.3,top,"[203, 72]",3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Nocturne.png
147,48,support,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Seraphine.png
412,50.1,support,[497],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Thresh.png
115,49.1,adc,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Ziggs.png
115,50.6,mid,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Ziggs.png
57,53.6,support,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Maokai.png
57,53.4,top,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Maokai.png
51,49.4,adc,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Caitlyn.png
498,47.1,adc,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Xayah.png
101,50.1,mid,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Xerath.png
101,49.4,support,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Xerath.png
268,47.5,mid,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Azir.png
555,49.3,support,[57],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Pyke.png
523,45.1,adc,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Aphelios.png
14,51.1,top,[240],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Sion.png
5,52,jungle,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/XinZhao.png
54,48.2,mid,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Malphite.png
54,51.3,top,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Malphite.png
203,49.4,jungle,[56],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Kindred.png
18,50.4,adc,[223],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Tristana.png
360,49.5,adc,[50],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Samira.png
240,53.6,mid,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Kled.png
240,50.4,top,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Kled.png
61,47.6,mid,"[45, 157]",5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Orianna.png
103,50.7,mid,[69],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Ahri.png
31,51.3,mid,[41],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Chogath.png
31,51.4,top,[41],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Chogath.png
22,50.6,adc,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Ashe.png
29,50.2,adc,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Twitch.png
114,50.4,top,"[62, 41]",3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Fiora.png
21,51.5,adc,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/MissFortune.png
89,51.9,support,[57],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Leona.png
27,51.7,top,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Singed.png
117,50.6,support,[37],1,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Lulu.png
107,48.3,jungle,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Rengar.png
107,46.3,top,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Rengar.png
24,49.5,top,[54],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Jax.png
40,50.3,support,[50],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Janna.png
96,51.4,adc,[],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/KogMaw.png
131,49.2,jungle,"[19, 30, 102]",2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Diana.png
131,51.2,mid,"[19, 30, 102]",2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Diana.png
90,50.8,mid,[1],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Malzahar.png
30,53.9,jungle,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Karthus.png
30,51.5,mid,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Karthus.png
58,49.7,mid,"[887, 31]",0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Renekton.png
58,47.8,top,"[887, 31]",4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Renekton.png
80,49.7,mid,[],4,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Pantheon.png
80,45.5,support,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Pantheon.png
80,50.4,top,[],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Pantheon.png
59,48.4,jungle,[72],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/JarvanIV.png
77,49.9,jungle,[163],3,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Udyr.png
23,50.9,mid,[54],0,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Tryndamere.png
23,48.5,top,[54],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Tryndamere.png
28,51.8,jungle,[],2,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Evelynn.png
102,47.3,jungle,[],5,http://ddragon.leagueoflegends.com/cdn/11.10.1/img/champion/Shyvana.png
