champion1,champion2,role1,role2,winrate
67,26,adc,support,0.5862785862785863
96,89,adc,support,0.5844748858447488
15,143,adc,support,0.5810055865921788
15,89,adc,support,0.574468085106383
222,35,adc,support,0.5721925133689839
18,35,adc,support,0.5721649484536082
202,57,adc,support,0.5701492537313433
110,26,adc,support,0.5654952076677316
202,201,adc,support,0.5645161290322581
875,235,adc,support,0.5633802816901409
202,26,adc,support,0.563013698630137
119,40,adc,support,0.5627705627705628
147,235,adc,support,0.5609756097560976
51,432,adc,support,0.5597722960151803
202,161,adc,support,0.5588235294117647
145,37,adc,support,0.5586206896551724
22,432,adc,support,0.5581395348837209
51,26,adc,support,0.5575757575757576
67,526,adc,support,0.55625
21,40,adc,support,0.5560747663551402
81,57,adc,support,0.5547445255474452
15,267,adc,support,0.5523255813953488
81,50,adc,support,0.5520833333333334
18,432,adc,support,0.5516074450084603
96,235,adc,support,0.5514705882352942
22,101,adc,support,0.5511811023622047
96,267,adc,support,0.5506849315068493
22,16,adc,support,0.5506072874493927
222,89,adc,support,0.5493920972644377
29,12,adc,support,0.5490196078431373
96,26,adc,support,0.5485436893203883
145,44,adc,support,0.5482625482625483
18,57,adc,support,0.5471014492753623
14,235,adc,support,0.5466666666666666
31,235,adc,support,0.5459183673469388
21,412,adc,support,0.5458786936236392
360,267,adc,support,0.5456852791878173
22,267,adc,support,0.5448504983388704
18,143,adc,support,0.5445544554455446
110,89,adc,support,0.5443213296398892
67,201,adc,support,0.542319749216301
21,432,adc,support,0.5416666666666666
22,143,adc,support,0.5414507772020726
145,57,adc,support,0.5413533834586466
222,16,adc,support,0.5406698564593302
21,555,adc,support,0.5403508771929825
222,161,adc,support,0.539906103286385
360,50,adc,support,0.5397350993377483
119,111,adc,support,0.5394736842105263
21,143,adc,support,0.5381944444444444
18,497,adc,support,0.5368852459016393
67,235,adc,support,0.5368620037807184
96,16,adc,support,0.5367965367965368
110,350,adc,support,0.5364431486880467
18,26,adc,support,0.536144578313253
22,26,adc,support,0.5348837209302325
15,235,adc,support,0.5347593582887701
360,432,adc,support,0.5347222222222222
96,117,adc,support,0.5347159603246168
67,143,adc,support,0.5344827586206896
15,555,adc,support,0.5341880341880342
157,12,adc,support,0.5340909090909091
202,235,adc,support,0.533961328705999
202,3,adc,support,0.5333333333333333
15,147,adc,support,0.5333333333333333
15,111,adc,support,0.5330578512396694
202,101,adc,support,0.5328746177370031
67,40,adc,support,0.5327102803738317
81,16,adc,support,0.5302325581395348
67,117,adc,support,0.529140599275601
81,35,adc,support,0.5291005291005291
145,16,adc,support,0.5286486486486487
145,50,adc,support,0.5285935085007728
18,89,adc,support,0.5270979020979021
67,37,adc,support,0.526595744680851
21,63,adc,support,0.5265700483091788
18,16,adc,support,0.5262096774193549
67,350,adc,support,0.5256880733944954
222,37,adc,support,0.5254901960784314
50,89,adc,support,0.5254237288135594
202,25,adc,support,0.5251612903225806
29,267,adc,support,0.5249169435215947
21,267,adc,support,0.524904214559387
145,267,adc,support,0.5242566510172144
29,555,adc,support,0.5242290748898678
360,89,adc,support,0.5241974125539052
15,432,adc,support,0.5240641711229946
202,16,adc,support,0.5237226277372263
429,89,adc,support,0.5235294117647059
202,143,adc,support,0.5226781857451404
29,117,adc,support,0.5218922999496729
145,235,adc,support,0.5216025137470542
45,235,adc,support,0.521505376344086
21,43,adc,support,0.5214285714285715
29,147,adc,support,0.5212121212121212
222,201,adc,support,0.5211267605633803
360,526,adc,support,0.5210884353741496
21,111,adc,support,0.5207373271889401
145,89,adc,support,0.5206213176218533
202,267,adc,support,0.5203349282296651
119,412,adc,support,0.5202614379084968
119,12,adc,support,0.51985559566787
145,143,adc,support,0.5197568389057751
81,161,adc,support,0.5195822454308094
67,63,adc,support,0.5195195195195195
110,40,adc,support,0.518957345971564
18,235,adc,support,0.518754988028731
222,412,adc,support,0.518623827125391
145,147,adc,support,0.5183189655172413
202,37,adc,support,0.5181159420289855
21,25,adc,support,0.5179282868525896
202,350,adc,support,0.5176125244618396
110,235,adc,support,0.5171026156941649
50,235,adc,support,0.5167597765363129
51,555,adc,support,0.5167037861915368
202,40,adc,support,0.5165394402035624
29,89,adc,support,0.5164835164835165
22,40,adc,support,0.516320474777448
67,53,adc,support,0.5163147792706334
202,63,adc,support,0.516297262059974
236,350,adc,support,0.515970515970516
18,350,adc,support,0.5157515751575158
429,111,adc,support,0.5157232704402516
15,40,adc,support,0.5152838427947598
360,53,adc,support,0.5152354570637119
360,12,adc,support,0.5150571131879543
51,40,adc,support,0.5149253731343284
145,101,adc,support,0.5148148148148148
67,412,adc,support,0.5147857573928787
145,432,adc,support,0.5145118733509235
51,89,adc,support,0.5143540669856459
222,143,adc,support,0.514018691588785
202,526,adc,support,0.514018691588785
22,117,adc,support,0.5132827324478179
360,497,adc,support,0.5130641330166271
22,235,adc,support,0.5128491620111731
18,201,adc,support,0.5127020785219399
236,26,adc,support,0.5126582278481012
360,57,adc,support,0.5124653739612188
81,89,adc,support,0.5122950819672131
145,117,adc,support,0.5122500704027034
223,235,adc,support,0.5118549511854951
67,432,adc,support,0.5117370892018779
51,99,adc,support,0.5115151515151515
21,235,adc,support,0.5114068441064639
29,350,adc,support,0.5110208816705336
360,111,adc,support,0.5108055009823183
67,101,adc,support,0.5106382978723404
67,16,adc,support,0.5105633802816901
360,201,adc,support,0.51010101010101
67,267,adc,support,0.5100354191263282
236,267,adc,support,0.5099502487562189
145,350,adc,support,0.5099375354911981
51,117,adc,support,0.5099009900990099
145,497,adc,support,0.5095238095238095
202,35,adc,support,0.5095057034220533
119,16,adc,support,0.509090909090909
21,53,adc,support,0.5087719298245614
222,497,adc,support,0.5086206896551724
145,111,adc,support,0.5081195575429512
110,143,adc,support,0.5079365079365079
18,117,adc,support,0.5079365079365079
81,497,adc,support,0.5076452599388379
67,497,adc,support,0.5074626865671642
22,12,adc,support,0.506993006993007
81,432,adc,support,0.5069284064665127
15,412,adc,support,0.5066666666666667
145,526,adc,support,0.5064766839378239
21,89,adc,support,0.5064748201438849
119,99,adc,support,0.5061728395061729
119,53,adc,support,0.5061224489795918
222,12,adc,support,0.5060096153846154
145,412,adc,support,0.5059980334316617
236,12,adc,support,0.5059523809523809
145,555,adc,support,0.505859375
119,89,adc,support,0.5057251908396947
18,412,adc,support,0.505700325732899
18,555,adc,support,0.5055658627087198
110,267,adc,support,0.5053763440860215
236,53,adc,support,0.505338078291815
145,161,adc,support,0.504950495049505
67,89,adc,support,0.5049288061336255
498,89,adc,support,0.504885993485342
202,89,adc,support,0.5047945205479452
235,412,adc,support,0.5046296296296297
145,53,adc,support,0.5044395116537181
360,143,adc,support,0.504225352112676
222,3,adc,support,0.5041666666666667
145,12,adc,support,0.5039699122440451
110,25,adc,support,0.5039164490861618
110,117,adc,support,0.5038639876352395
145,201,adc,support,0.503793626707132
110,432,adc,support,0.5036144578313253
202,99,adc,support,0.5035389282103134
202,53,adc,support,0.5031847133757962
145,26,adc,support,0.5027932960893855
18,111,adc,support,0.5027412280701754
22,111,adc,support,0.5027027027027027
145,35,adc,support,0.5025906735751295
29,16,adc,support,0.5024875621890548
222,111,adc,support,0.5024248302618817
22,412,adc,support,0.5020080321285141
15,117,adc,support,0.5014925373134328
18,50,adc,support,0.5014005602240896
21,117,adc,support,0.5013774104683195
51,143,adc,support,0.5010845986984815
222,117,adc,support,0.5009813542688911
145,3,adc,support,0.5007776049766719
222,25,adc,support,0.5007518796992482
236,235,adc,support,0.5
222,235,adc,support,0.4996405463695183
67,12,adc,support,0.49933949801849403
119,117,adc,support,0.499009900990099
236,412,adc,support,0.4988095238095238
119,267,adc,support,0.49868766404199477
110,63,adc,support,0.49859154929577465
51,147,adc,support,0.4985835694050991
81,143,adc,support,0.4985632183908046
119,350,adc,support,0.498371335504886
222,267,adc,support,0.4982738780207135
202,12,adc,support,0.49775280898876406
18,80,adc,support,0.49722222222222223
96,40,adc,support,0.4971751412429379
236,101,adc,support,0.49693251533742333
22,555,adc,support,0.4967741935483871
51,267,adc,support,0.4966101694915254
21,147,adc,support,0.496551724137931
119,43,adc,support,0.4964788732394366
51,235,adc,support,0.4963181148748159
18,267,adc,support,0.49622166246851385
21,99,adc,support,0.4961832061068702
222,101,adc,support,0.49595687331536387
18,44,adc,support,0.4953271028037383
18,99,adc,support,0.49528301886792453
67,25,adc,support,0.49506903353057197
236,432,adc,support,0.49504950495049505
222,57,adc,support,0.49458483754512633
21,350,adc,support,0.49454545454545457
51,43,adc,support,0.4938101788170564
18,12,adc,support,0.4937413073713491
22,89,adc,support,0.4936247723132969
110,161,adc,support,0.49333333333333335
