execution;generation;chromosome;fitness 
1;1;141,75,44,3,66;0
1;2;141,75,44,3,66;0
1;3;141,75,44,3,66;0
1;4;141,75,44,3,66;0
1;5;141,75,44,3,66;0
1;6;141,75,44,3,66;0
1;7;141,75,44,3,66;0
1;8;141,75,44,3,66;0
1;9;141,75,44,3,66;0
1;10;141,75,135,3,66;0.725285433070866
1;11;141,75,135,3,66;0.725285433070866
1;12;141,75,135,3,66;0.725285433070866
1;13;141,75,135,3,66;0.725285433070866
1;14;141,75,135,3,43;0.7857258858267716
1;15;141,75,135,3,43;0.7857258858267716
1;16;56,75,135,3,43;0.8050147637795276
1;17;56,75,135,3,43;0.8050147637795276
1;18;56,75,135,3,43;0.8050147637795276
1;19;56,75,135,3,43;0.8050147637795276
1;20;56,75,135,3,43;0.8050147637795276
1;21;56,75,135,3,43;0.8050147637795276
1;22;56,75,135,3,43;0.8050147637795276
1;23;56,75,135,3,43;0.8050147637795276
1;24;56,75,135,3,43;0.8050147637795276
1;25;56,75,135,3,43;0.8050147637795276
1;26;56,75,135,3,43;0.8050147637795276
1;27;56,75,49,3,43;0.864734251968504
1;28;56,75,49,3,43;0.864734251968504
1;29;56,75,49,3,43;0.864734251968504
1;30;56,75,49,3,43;0.864734251968504
1;31;56,75,49,3,43;0.864734251968504
1;32;56,75,49,3,43;0.864734251968504
1;33;56,75,49,3,43;0.864734251968504
1;34;56,75,49,3,43;0.864734251968504
1;35;56,75,49,3,43;0.864734251968504
1;36;56,75,49,3,43;0.864734251968504
1;37;56,75,49,3,43;0.864734251968504
1;38;56,75,49,3,43;0.864734251968504
1;39;56,75,49,3,43;0.864734251968504
1;40;56,75,49,107,43;0.9153543307086615
1;41;56,75,49,107,43;0.9153543307086615
1;42;56,75,49,107,43;0.9153543307086615
1;43;56,75,49,130,43;0.9326279527559055
1;44;56,75,49,130,43;0.9326279527559055
1;45;56,75,49,130,43;0.9326279527559055
1;46;56,75,49,130,43;0.9326279527559055
1;47;56,75,49,130,43;0.9326279527559055
1;48;56,75,49,130,43;0.9326279527559055
1;49;56,75,49,130,43;0.9326279527559055
1;50;56,75,49,130,43;0.9326279527559055
1;51;56,75,49,130,43;0.9326279527559055
1;52;56,75,49,130,43;0.9326279527559055
1;53;56,75,49,130,43;0.9326279527559055
1;54;56,75,49,130,43;0.9326279527559055
1;55;56,75,49,130,43;0.9326279527559055
1;56;56,75,49,130,43;0.9326279527559055
