execution;generation;chromosome;fitness 
1;1;110,43,112,122,24;0
1;2;110,43,112,122,24;0
1;3;110,43,112,122,24;0
1;4;110,43,112,122,24;0
1;5;110,43,112,122,24;0
1;6;110,43,112,122,24;0
1;7;110,43,112,122,24;0
1;8;110,43,112,122,24;0
1;9;110,43,112,122,24;0
1;10;110,43,112,122,24;0
1;11;110,43,112,122,24;0
1;12;110,43,112,122,24;0
1;13;110,43,112,122,24;0
1;14;110,43,112,122,24;0
1;15;110,43,112,122,24;0
1;16;110,43,112,122,24;0
1;17;110,43,112,122,24;0
1;18;110,43,112,122,24;0
1;19;110,43,112,122,24;0
1;20;110,43,112,122,24;0
1;21;110,43,112,122,24;0
1;22;110,43,112,122,24;0
1;23;110,43,112,122,24;0
1;24;110,43,112,122,24;0
1;25;110,43,112,122,24;0
1;26;110,43,112,122,24;0
1;27;110,43,112,122,24;0
1;28;110,43,112,122,24;0
1;29;110,43,112,122,24;0
1;30;110,43,112,122,24;0
1;31;110,43,112,122,24;0
1;32;110,43,112,122,24;0
1;33;110,43,112,122,24;0
1;34;110,43,112,122,24;0
1;35;110,43,112,122,24;0
1;36;110,43,112,122,24;0
1;37;110,43,112,122,24;0
1;38;110,43,112,122,24;0
1;39;110,43,112,122,24;0
1;40;110,43,112,122,24;0
1;41;110,43,112,122,24;0
1;42;110,43,112,122,24;0
1;43;110,43,112,122,24;0
1;44;110,43,112,122,24;0
1;45;110,43,112,122,24;0
1;46;110,43,112,122,24;0
1;47;110,43,112,122,24;0
1;48;110,43,112,122,24;0
1;49;110,43,112,122,24;0
1;50;110,43,112,122,24;0
1;51;110,43,112,122,24;0
1;52;110,43,112,122,24;0
1;53;110,43,112,122,24;0
1;54;110,43,112,122,24;0
1;55;110,43,112,122,24;0
1;56;110,43,112,122,24;0
1;57;110,43,112,122,24;0
1;58;110,43,112,122,24;0
1;59;110,43,112,122,24;0
1;60;110,43,112,122,24;0
1;61;110,43,112,122,24;0
1;62;110,43,112,122,24;0
1;63;110,43,112,122,24;0
1;64;110,43,112,122,24;0
1;65;110,43,112,122,24;0
1;66;110,43,112,122,24;0
1;67;110,43,112,122,24;0
1;68;110,43,112,122,24;0
1;69;110,43,112,122,24;0
1;70;110,43,112,122,24;0
1;71;110,43,112,122,24;0
1;72;110,43,112,122,24;0
1;73;110,43,112,122,24;0
1;74;110,43,112,122,24;0
1;75;110,43,112,122,24;0
1;76;110,43,112,122,24;0
1;77;110,43,112,122,24;0
1;78;110,43,112,122,24;0
1;79;110,43,112,122,24;0
1;80;110,43,112,122,24;0
1;81;110,43,112,122,24;0
1;82;110,43,112,122,24;0
1;83;110,43,112,122,24;0
1;84;110,43,112,122,24;0
1;85;110,43,112,122,24;0
1;86;110,43,112,122,24;0
1;87;110,43,112,122,24;0
1;88;110,43,112,122,24;0
1;89;110,43,112,122,24;0
1;90;110,43,112,122,24;0
1;91;110,43,112,122,24;0
1;92;110,43,112,122,24;0
1;93;110,43,112,122,24;0
1;94;110,43,112,122,24;0
1;95;110,43,112,122,24;0
1;96;110,43,112,122,24;0
1;97;110,43,112,122,24;0
1;98;110,43,112,122,24;0
1;99;110,43,112,122,24;0
1;100;110,43,112,122,24;0
1;101;110,43,112,122,24;0
1;102;110,43,112,122,24;0
1;103;110,43,112,122,24;0
1;104;110,43,112,122,24;0
1;105;110,43,112,122,24;0
1;106;110,43,112,122,24;0
1;107;110,43,112,122,24;0
1;108;110,43,112,122,24;0
1;109;110,43,112,122,24;0
1;110;110,43,112,122,24;0
1;111;110,43,112,122,24;0
1;112;110,138,112,122,24;0.7431496062992127
1;113;110,138,112,122,24;0.7431496062992127
1;114;110,138,112,122,24;0.7431496062992127
1;115;110,138,112,122,24;0.7431496062992127
1;116;110,138,144,122,24;0.8050787401574804
1;117;110,138,144,122,24;0.8050787401574804
1;118;110,138,144,122,24;0.8050787401574804
1;119;110,138,144,122,24;0.8050787401574804
1;120;110,138,144,122,24;0.8050787401574804
1;121;110,138,144,122,24;0.8050787401574804
1;122;110,138,144,122,24;0.8050787401574804
1;123;110,138,144,122,24;0.8050787401574804
1;124;110,138,144,122,24;0.8050787401574804
1;125;110,138,144,122,24;0.8050787401574804
1;126;110,138,144,122,24;0.8050787401574804
1;127;110,138,144,122,24;0.8050787401574804
1;128;110,138,144,122,24;0.8050787401574804
1;129;110,138,144,122,24;0.8050787401574804
1;130;110,138,144,122,24;0.8050787401574804
1;131;110,138,144,122,24;0.8050787401574804
1;132;110,138,144,122,24;0.8050787401574804
1;133;110,138,144,122,24;0.8050787401574804
1;134;110,138,144,122,24;0.8050787401574804
1;135;110,138,144,122,24;0.8050787401574804
1;136;110,138,144,122,24;0.8050787401574804
1;137;110,138,144,122,24;0.8050787401574804
1;138;110,138,144,122,24;0.8050787401574804
1;139;110,138,144,122,24;0.8050787401574804
1;140;110,138,144,122,24;0.8050787401574804
1;141;110,138,144,122,24;0.8050787401574804
1;142;110,138,144,122,24;0.8050787401574804
1;143;110,138,144,122,24;0.8050787401574804
1;144;110,138,144,28,24;0.8541929133858269
1;145;110,138,144,28,24;0.8541929133858269
1;146;110,138,144,28,24;0.8541929133858269
1;147;110,138,144,28,24;0.8541929133858269
1;148;110,138,144,28,24;0.8541929133858269
1;149;110,138,144,28,24;0.8541929133858269
1;150;110,138,144,28,24;0.8541929133858269
1;151;110,138,144,28,24;0.8541929133858269
1;152;110,138,144,82,24;0.8694192913385828
1;153;110,138,144,82,24;0.8694192913385828
1;154;110,138,144,82,24;0.8694192913385828
1;155;110,138,144,82,24;0.8694192913385828
1;156;110,138,144,82,24;0.8694192913385828
1;157;110,138,144,82,24;0.8694192913385828
1;158;110,138,144,82,24;0.8694192913385828
1;159;110,138,144,82,24;0.8694192913385828
1;160;110,138,144,82,24;0.8694192913385828
1;161;110,138,144,82,24;0.8694192913385828
1;162;110,138,144,82,24;0.8694192913385828
