execution;start;end;duration 
1;Mon Nov 18 2019 20:43:33 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:43:33 GMT-0200 (Brasilia Summer Time);120 
execution;start;end;duration 
2;Mon Nov 18 2019 20:44:27 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:44:27 GMT-0200 (Brasilia Summer Time);168 
execution;start;end;duration 
3;Mon Nov 18 2019 20:45:03 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:45:03 GMT-0200 (Brasilia Summer Time);115 
execution;start;end;duration 
4;Mon Nov 18 2019 20:45:19 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:45:19 GMT-0200 (Brasilia Summer Time);107 
execution;start;end;duration 
5;Mon Nov 18 2019 20:45:49 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:45:50 GMT-0200 (Brasilia Summer Time);124 
execution;start;end;duration 
6;Mon Nov 18 2019 20:46:36 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:46:36 GMT-0200 (Brasilia Summer Time);194 
execution;start;end;duration 
7;Mon Nov 18 2019 20:47:16 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:47:17 GMT-0200 (Brasilia Summer Time);97 
execution;start;end;duration 
8;Mon Nov 18 2019 20:47:30 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:47:30 GMT-0200 (Brasilia Summer Time);107 
execution;start;end;duration 
9;Mon Nov 18 2019 20:48:02 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:48:02 GMT-0200 (Brasilia Summer Time);90 
execution;start;end;duration 
10;Mon Nov 18 2019 20:48:15 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:48:15 GMT-0200 (Brasilia Summer Time);111 
