execution;start;end;duration 
1;Thu Dec 12 2019 14:35:33 GMT-0200 (Brasilia Summer Time);Thu Dec 12 2019 14:35:34 GMT-0200 (Brasilia Summer Time);708 
2;Thu Dec 12 2019 14:36:11 GMT-0200 (Brasilia Summer Time);Thu Dec 12 2019 14:36:12 GMT-0200 (Brasilia Summer Time);919 
3;Thu Dec 12 2019 14:38:47 GMT-0200 (Brasilia Summer Time);Thu Dec 12 2019 14:38:48 GMT-0200 (Brasilia Summer Time);965 
4;Thu Dec 12 2019 14:39:17 GMT-0200 (Brasilia Summer Time);Thu Dec 12 2019 14:39:18 GMT-0200 (Brasilia Summer Time);706 
5;Thu Dec 12 2019 14:47:14 GMT-0200 (Brasilia Summer Time);Thu Dec 12 2019 14:47:14 GMT-0200 (Brasilia Summer Time);595 
6;Thu Dec 12 2019 14:47:44 GMT-0200 (Brasilia Summer Time);Thu Dec 12 2019 14:47:44 GMT-0200 (Brasilia Summer Time);624 
7;Thu Dec 12 2019 14:51:00 GMT-0200 (Brasilia Summer Time);Thu Dec 12 2019 14:51:01 GMT-0200 (Brasilia Summer Time);788 
8;Thu Dec 12 2019 14:51:11 GMT-0200 (Brasilia Summer Time);Thu Dec 12 2019 14:51:12 GMT-0200 (Brasilia Summer Time);669 
9;Thu Dec 12 2019 14:51:22 GMT-0200 (Brasilia Summer Time);Thu Dec 12 2019 14:51:23 GMT-0200 (Brasilia Summer Time);618 
10;Thu Dec 12 2019 14:51:31 GMT-0200 (Brasilia Summer Time);Thu Dec 12 2019 14:51:32 GMT-0200 (Brasilia Summer Time);857 
