execution;start;end;duration 
1;Mon Nov 18 2019 15:41:32 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 15:41:33 GMT-0200 (Brasilia Summer Time);1065 
execution;start;end;duration 
2;Mon Nov 18 2019 15:44:36 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 15:44:37 GMT-0200 (Brasilia Summer Time);1048 
execution;start;end;duration 
3;Mon Nov 18 2019 15:44:46 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 15:44:48 GMT-0200 (Brasilia Summer Time);1465 
execution;start;end;duration 
4;Mon Nov 18 2019 15:45:21 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 15:45:22 GMT-0200 (Brasilia Summer Time);1127 
execution;start;end;duration 
5;Mon Nov 18 2019 15:45:33 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 15:45:35 GMT-0200 (Brasilia Summer Time);1491 
execution;start;end;duration 
6;Mon Nov 18 2019 15:45:43 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 15:45:44 GMT-0200 (Brasilia Summer Time);1046 
execution;start;end;duration 
7;Mon Nov 18 2019 15:45:56 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 15:45:57 GMT-0200 (Brasilia Summer Time);1165 
execution;start;end;duration 
8;Mon Nov 18 2019 15:46:09 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 15:46:10 GMT-0200 (Brasilia Summer Time);1163 
execution;start;end;duration 
9;Mon Nov 18 2019 15:46:23 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 15:46:24 GMT-0200 (Brasilia Summer Time);1492 
execution;start;end;duration 
10;Mon Nov 18 2019 15:46:34 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 15:46:36 GMT-0200 (Brasilia Summer Time);1329 
