execution;start;end;duration 
1;Mon Nov 18 2019 21:13:50 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 21:13:51 GMT-0200 (Brasilia Summer Time);605 
execution;start;end;duration 
2;Mon Nov 18 2019 21:14:07 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 21:14:08 GMT-0200 (Brasilia Summer Time);754 
execution;start;end;duration 
3;Mon Nov 18 2019 21:14:16 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 21:14:16 GMT-0200 (Brasilia Summer Time);733 
execution;start;end;duration 
4;Mon Nov 18 2019 21:14:22 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 21:14:23 GMT-0200 (Brasilia Summer Time);868 
execution;start;end;duration 
5;Mon Nov 18 2019 21:14:32 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 21:14:32 GMT-0200 (Brasilia Summer Time);716 
execution;start;end;duration 
6;Mon Nov 18 2019 21:14:38 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 21:14:39 GMT-0200 (Brasilia Summer Time);884 
execution;start;end;duration 
7;Mon Nov 18 2019 21:14:45 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 21:14:46 GMT-0200 (Brasilia Summer Time);708 
execution;start;end;duration 
8;Mon Nov 18 2019 21:15:06 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 21:15:07 GMT-0200 (Brasilia Summer Time);809 
execution;start;end;duration 
9;Mon Nov 18 2019 21:15:35 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 21:15:35 GMT-0200 (Brasilia Summer Time);753 
execution;start;end;duration 
10;Mon Nov 18 2019 21:16:24 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 21:16:25 GMT-0200 (Brasilia Summer Time);809 
